Labels,Translation,Decision
"Column, Landmark, Sky, Building, Architecture, Historic site, Classical architecture, Ancient history, Dome, Stairs",good morning,fake
"Bridge, Canopy walkway, Suspension bridge, Inca rope bridge, Rope bridge, Skyway, Extradosed bridge, Nonbuilding structure, Vehicle",Hanging bridges from Haifa,real
"Car, Vehicle, Yellow, Motor vehicle, Coupé, Classic car, Volkswagen beetle, Classic, Vintage car, Subcompact car",From the old city of Nablus Juma blessing,real
"Natural foods, Marketplace, Local food, Selling, Market, Public space, Whole food, Fruit, Plant, Food",Cherry from Jerusalem,real
"Public space, Building, Architecture, City, Street, Road, Intersection, Road surface",Good morning from Birzeit University,real
"Sky, Nature, Horizon, Sunset, Sunrise, Cloud, Morning, Evening, Afterglow, Atmosphere",Sunset on the mountain North Asera - Nablus,real
"Yellow, Painting, Art, Illustration",You become the most beautiful reality,fake
"Font, Text, Calligraphy, Art, Smile, Handwriting, Love, Happy",Join us,fake
"Text, Wall, Yellow, Arch, Architecture, Font, History, Historic site, Door, Landscape",Introduction to beauty,fake
"Dish, Food, Cuisine, Fried food, Deep frying, Ingredient, Side dish, Finger food, Dessert, Snack",How many lovers of falafel,real
"Dish, Food, Cuisine, Ingredient, Dessert, Baked goods, Recipe, Frybread, Produce, Snack",Ramallah falafel,real
"Food, Cuisine, Dish, Ingredient, Galaktoboureko, Dessert, Börek, Kanafeh, Baked goods, Baklava",We are all Syria,fake
"Body of water, Horizon, Sea, Sky, Water, Ocean, Blue, Water resources, Calm, Sound",Jaffa Sea,real
"Motor vehicle, Vehicle, Car, Transport, Mode of transport, Van, Truck, Commercial vehicle, Light commercial vehicle, Pickup truck",take photo,fake
"Bridge, Arch bridge, Sky, Iron, River, Cantilever bridge, Truss bridge, Water, Humpback bridge, Girder bridge","Good morning, Jamal Abdel Nasser Park - Nablus",real
"Sky, Cloud, Daytime, Horizon, Mountain, Wilderness, Morning, Atmosphere, Wall, Cumulus",Good morning,fake
"Sky, Cloud, Horizon, Daytime, Sea, Water, Sunlight, Morning, Atmosphere, Ocean",Good morning to our followers,fake
"Natural landscape, Highland, Vegetation, Mountainous landforms, Natural environment, Wilderness, Nature reserve, Mountain, Hill, Tundra",Sun House Mountains,real
"Masonry oven, Rock, Oven, Bread, Kitchen appliance, Heat, Home appliance, Geological phenomenon, Cuisine",Tabun bread from Khan Yunis,real
"Natural foods, Local food, Food, Fruit, Plant, Whole food, Yellow, Vegetable, Produce, Flower",Guava season in Qalqilya,real
"Aerial photography, Bird's-eye view, Metropolitan area, Urban area, Residential area, Freeway, Road, Highway, Suburb, Thoroughfare",Salah Al-Din Street - Gaza,real
"Metropolitan area, Urban area, City, Skyscraper, Tower block, Landmark, Daytime, Human settlement, Sky, Road",Happy your morning from Haifa Juma__ blessing,fake
"Sky, Cloud, Blue, Daytime, Horizon, Town, Urban area, Morning, City, Evening",Sunrise of Beit Lahia,real
"Text, Yellow, Font, Screenshot, Icon",good evening,fake
"Moon, Astronomical object, Font, Celestial event, Sphere, Event, Photography, Macro photography, Stock photography, Circle",Moon this night from the city of Lod,real
"Field, Agricultural machinery, Farm, Agriculture, Tractor, Rural area, Grassland, Vehicle, Grass, Meadow",Good morning,fake
"Grape, Plant, Fruit, Tree, Hand, Grapevine family, Food, Natural foods, Palm tree, Fruit tree",The olive season begins in Gaza,real
"Water transportation, Boat, Sky, Vehicle, Harbor, Sea, Marina, Coast, Port, Vacation",Gaza Beach,real
"Beauty, Smile, Eye, Photo shoot, Photography, Portrait, Portrait photography, Black hair",Palestinian,fake
"Dish, Food, Cuisine, Ingredient, Bindaetteok, Jeon, Pajeon, Kimchijeon, Kanafeh, Recipe",Coal Knafeh,real
"Sky, Vehicle, Boat, Sea, Water transportation, Ocean, Sunset, Watercraft, Wave, Calm",Your morning from the Gaza Strip,real
"Water transportation, Sky, Vehicle, Boat, Water, Boating, Sea, Ocean, Rowing, Recreation",Blessed Friday - Gaza,fake
"Bird, Swan, Water bird, Ducks, geese and swans, Waterfowl, Beak, Black swan, Water, Duck, Organism",The beginning of a beautiful week,fake
"Sky, Horizon, Sunset, Sea, Sunrise, Evening, Ocean, Morning, Calm, Dusk",Khan Yunis Sea,real
"Landmark, Tower, Tree, Observation tower, Finial, Mosque, Plant, Architecture, Steeple, Building",blessed Friday,fake
"Sand, Soil, Building sand castles, Concrete",From the Gaza sea coast,real
"Moon, Photograph, Full moon, Celestial event, Atmospheric phenomenon, Astronomical object, Atmosphere, Sphere, Black-and-white, Darkness",The moon from the sky of Gaza tonight,real
"Dish, Gravy, Food, Cookware and bakeware, Cuisine",Overturned on fire today,real
"Food, Dish, Cuisine, Baked goods, Ingredient, Bread, Dessert, Malaysian food, Mediterranean food, Pastry",Your morning Jerusalem cakes,real
"Arch, Sky, Architecture, Rock, Sunset, Horizon, Formation, Natural arch, Sea, Cloud",Sunset,real
"Land vehicle, Vehicle, Car, Motor vehicle, Transport, Mode of transport, Classic, Vintage car, Antique car, Commercial vehicle",A bus from the days of Nakba 1948,real
"Sky, Wildfire, Strategy video game, Event, World, Landscape, Painting, Fire",Fires are raging in Haifa today,real
"Text, Font, Yellow, Line, Icon, Screenshot, Emoticon",Happy your time,fake
"Food, Street food, Cuisine, Dish, Baked goods, Snack, Mediterranean food","Morning, cakes and falafel Jerusalem",real
"Transport, Mode of transport, Railway, Urban area, Metropolitan area, Vehicle, Track, Public transport, Train, Rolling stock",Good morning from Haifa,real
"Cuisine, Dish, Food, Ingredient, Vegetarian food, Dessert, Baked goods",Falafel Miss Rim - Ramallah,real
"Pink, Red, Wall, Town, Neighbourhood, Bougainvillea, Tree, Street, Flower, Door",Good morning Nabulsi,fake
"Honeybee, Bee, Flower, Insect, Membrane-winged insect, Plant, Pollinator, Hoverfly, Petal, Nectar",Good morning,fake
"Dish, Food, Cuisine, Ingredient, Meat, Produce, Rice, Staple food, Recipe, Fried food",Macho Palestinian,real
"Sky, Town, Cloud, Daytime, City, Human settlement, Urban area, Horizon, Neighbourhood, Roof",Participation from a friend from Algeria,fake
"Dish, Food, Cuisine, Pizza, Pizza cheese, California-style pizza, Ingredient, Sicilian pizza, Flatbread, Tarte flambée",Firewood pizza,real
"Community, Event, Tree, Tourism, Recreation, Leisure, Team",Friday prayers from the blessed Al-Aqsa Mosque .. lens: Muhammad Karout Adkidk # Jerusalem newspaper # Friday prayer,real
"Statue, Monument, Landmark, Sculpture, Memorial, Art, National historic landmark, National monument, Historic site",The first statue of the late Palestinian President Yasser Arafat Abu Ammar was established in the Brazilian town of Paraíba do Sul. # Al-Quds Newspaper # Statue # President Arafat # Brazil,real
"Flock, Bird migration, Animal migration, Bird, Sky, Wildlife",Pictures: Starling birds paint wonderful paintings as they fly in dense flocks in Palestine. # Al-Quds Newspaper # Birds and Starlings # The nature of Palestine,real
"Landmark, Architecture, Building, Yellow, Sky, Tree, Arch, City, World, Night","Your morning is Palestinian and an authentic Jerusalemite. Morning, our beating heart, our beloved and eternal capital, Jerusalem. # Palestine # Jerusalem # Al-Aqsa # Jerusalem newspaper",real
"Snow, Winter, Cable car, Sky, Cable car, Mountain, Slope, Mountain range, Cloud, Piste",Snow continues to fall on the Sheikh Mountain .. # Snow # Jabal Sheikh # The occupied Golan,real
"Vehicle, Transport, Mode of transport, Car, Truck, Commercial vehicle",A retired teacher turned his small cart into a mobile library that roams the most remote areas of Italy to provide books for children and adults # Italy # books # reading # library # children,real
"Blue, Town, Wall, Majorelle blue, Architecture, Azure, Sky, Neighbourhood, Building, Facade","Forbes magazine chose the photos of the houses of the blue jewel, Chefchaouen, Morocco, among the list of the best photos taken by tourists, and they were published on the social networking site Instagram. # Morocco # Chefchestown # Tourism # Pictures # Tourism",real
"Vehicle, Car, Technology, Neon, Auto show, Mid-size car, Concept car, Headlamp, Compact car, Automotive lighting","Mercedes-Benz charts the future with its Vision IVTR car inspired by an avatar movie in Las Vegas, the American ... # Mercedes # Cars # Avatar # Germany",real
"Citrus, Rangpur, Clementine, Fruit, Food, Orange, Bitter orange, Fruit tree, Plant, Calamondin",The orange season in Hebron .. # orange # Hebron # Jerusalem newspaper,real
"Snow, Snowman, Winter, Freezing, Playing in the snow, Tree, Fun, Frost, Plant, Black-and-white","Heavy snowfall in the Russian capital Moscow, snow # Moscow # snowman",real
"Fish, Fish, Shark, Vehicle, Flesh, Fish products, Cartilaginous fish, Lamniformes",Gaza fishermen are able to hunt a number of sharks. Photo: Aid Bakr # Fishermen # Gaza # Fish # Shark,real
"Child, Outerwear",The perfect solution to this weather,fake
"Plant, Flower, Red juniper, Subshrub, Herb, Southernwood, Rosemary, Tree, American larch, Flowering plant",The start of the Persian thyme season in Palestine # Al-Quds newspaper # Persian thyme # Nature # plants,real
"San Pedro cactus, Cactus, Vegetation, Plant, Saguaro, Botany, Terrestrial plant, Flower, Acanthocereus tetragonus, Tree",Cactus Forest. Thousands of plants in a rare garden in Gaza # Gaza # plants # cacti # Jerusalem newspaper,real
"Sky, Cloud, City, Urban area, Dome, Night, Cityscape, Atmosphere, Architecture, Mosque","In Jerusalem, it is in Jerusalem, except you ... # Jerusalem # Al-Aqsa # Palestine",real
"Sky, Nature, Cloud, Natural landscape, Horizon, Sunset, Evening, Morning, Atmospheric phenomenon, Daytime",Sunset in Jerusalem .. # sunset # Jerusalem # Palestine,real
"Land vehicle, Vehicle, Car, Motor vehicle, Kia soul, Kia motors, Automotive design, Urban area, Subcompact car, Photography",The winter atmosphere of Gaza City for today # Gaza # Winter # Pictures # Jerusalem newspaper,real
"Food, Dish, Cuisine, Ingredient, Maniçoba, Produce, Vegetarian food, Recipe, Side dish","Salfit # the loofah, the permanent guest of winter, on the citizens ’tables.",real
"Mushroom, Agaricomycetes, Agaricaceae, Tree, Fungus, Edible mushroom, Medicinal mushroom, Agaricus, Russula integra, Plant",A citizen from Ramallah finds a huge fungus. # Jerusalem newspaper # Ramallah,real
"Dish, Food, Cuisine, Ingredient, Lunch, Produce, Vegetarian food, Staple food, Vegan nutrition, Manakish",May Allah bless your followers .... # Jerusalem newspaper # Palestine # breakfast,fake
Child,Winter falls heavy on the Hamouda Abu Amra family in Gaza .. # Gaza # Winter # Tents # Home # Jerusalem_ Newspaper,fake
"Food, Buttercream, Pink, Icing, Dessert, Frozen dessert, Cake, Sweetness, Cuisine, Cake decorating",Salfit ... making soap in the form of sweets in order to encourage children to take care of themselves .. # Palestine # soap # sweets # children,real
"Water, Hot spring, Bathing, Leisure, Games, Fun, Vacation, Recreation, Thermal bath, Thermae","Hot mineral springs in the Hungarian capital Budapest, which contribute to removing muscle and rheumatic pain, which made them a kiss for thousands of tourists # Budapest # hot_ springs # Jerusalem_ newspaper",real
"Panda, Vertebrate, Mammal, Bear, Nature reserve, Terrestrial animal, Organism, Adaptation, Carnivore, Zoo",Panda Yi Yi is celebrating her birthday at the Zoo of Malaysia # Panda # Malaysia # Zoo_ animal,real
"Dome, Dome, Landmark, Building, Holy places, Architecture, Place of worship, Sky, Khanqah, Mosque",Thousands perform Friday prayers at Al-Aqsa Mosque # Al-Aqsa Mosque # Fajr Prayer # Jerusalem,real
"White, Snow, Black, Sky, Winter, Black-and-white, Tree, Natural landscape, Monochrome photography, Water",Snow covers the Canadian city of Vancouver and temperatures below zero # Canada # snow # Vancouver # Jerusalem newspaper, real
"Building, Mosque, Khanqah, Place of worship, Hacienda, Tree, Architecture, Tourism, Courtyard, Palm tree",Great Mosque of Mahmudiya / Jaffa with a lens: Issa Al-Qawasmi # Al-Quds Newspaper # Mosque of Mahmudiyah # Jaffa # Photo_Today, real
"Fish, Salted fish, Fish products, Fish, Seafood",A tour of the main fish calculation in the Gaza Strip this morning .. # Gaza # fish # fisherman # Jerusalem newspaper # Bahr,real
"Dome, Dome, Building, Landmark, Holy places, Place of worship, Khanqah, Architecture, Mosque, Byzantine architecture",The Dome of the Rock Mosque in the blessed Al-Aqsa Mosque .. # Al-Aqsa Mosque # The Dome of the Rock # Jerusalem, real
"Snow, Winter, Freezing, Sky, Water, Tree, Blizzard, Winter storm, Line, Event",Snowstorm covers homes and cars in Canada #storm #snow #c Canada # Jerusalem newspaper, real
"Cat, Mammal, Vertebrate, Small to medium-sized cats, Felidae, Whiskers, Carnivore, Russian blue, Korat, Scottish fold",Half of it is an animal and the other half is a robot .. a cat that lost all its ends due to the Siberian frost has been given a new life thanks to a Russian veterinarian who invented her three-dimensional artificial titanium limbs .. # cats # siberia # animal # robot # frost,real
"Water transportation, Sea, Ocean, Water, Sky, Horizon, Boating, Boat, Vehicle, Recreation",Footage from the Gaza sea shore today ... # Al-Quds Newspaper # Palestine # Gaza # Beautiful shots,real
"Horse, Halter, Equestrianism, Bridle, Show jumping, Rein, Animal sports, Mammal, Vertebrate, Equestrian",Bidya # The youngest knight in Palestine # Fayez Ali Taha 6 years and professionally rides and jumps over barriers # Jerusalem_ Newspaper # Palestine # Achievements # Equestrian,real
"Helicopter, Soldier, Troop, Army, Military organization, People, Rotorcraft, Military, Military uniform, Military helicopter",Prince Al-Hussein bin Abdullah II participates in military training in the Emirates .. # Al-Hussein_Ben_Abdullah # The Hashemite Family # Al-Quds Newspaper # Emirates, real
"Land vehicle, Vehicle, Car, Motor vehicle, Vintage car, Classic car, Mode of transport, Transport, Classic, Antique car",The Palestinian Mahmoud Baraka succeeds in remaking a car dating back 200 years. # Gaza # Cars # Palestine # Jerusalem newspaper,real
"Body of water, Water resources, Water, River, Geological phenomenon, Wilderness, Sky, Mountain, Bank, Tree","Wadi Qana, one of the most beautiful natural reserves, is varied with the richness of natural plants and animals, and water fountains .. # Wadi_Qana # nature reserve # springs # water",real
"Natural landscape, Nature, Sky, Highland, Rainbow, Mountainous landforms, Mountain, Cloud, Wilderness, Landscape",The picturesque nature of Peru ... # nature # mountains # Peru # Jerusalem newspaper,real
"Snow, People in nature, Winter, Photograph, White, Tree, Freezing, Red, Frost, Branch",Snow falls on the areas west of the Republic of China ... # China # snow # winter # Jerusalem newspaper,real
"Beach, Sky, Sand, Ocean, Sea, Shore, Coast, Cloud, Summer, Vacation",Today's photo ... # Al-Quds Newspaper # Palestine # Today's photo # Palestine_free,fake
"Sculpture, Face, Statue, Head, Forehead, Classical sculpture, Art, Beauty, Chin, Drawing","The Egyptian plastic artist # Hani_Jamal performed a sculpture for Mrs. # Fayrouz, and I attach a set of photos that he published to the sculpture with a comment from Egypt ... Peace to Fayrouz ... neighbor of the moon, and the sculpture received great admiration from the followers who praised the beauty of sculpture and its mastery # Al-Quds newspaper # Fayrouz # Miscellaneous",real
"Night, Landmark, Sky, City, Urban area, Dome, Metropolitan area, Architecture, Building, Metropolis",Peace for a land that was created for peace and what ever saw peace .. # Jerusalem # Mosque_ Al-Aqsa # Jerusalem newspaper # Deal of the Century,real
"Ball game, Player, Sports, Team sport, Sports equipment, Soccer player, Tournament, Soccer ball, Soccer, Football player","Codan Biles, the Australian child, was sympathetic to the global sporting community after his touching talk with his mother, and wished he would die due to being bullied by his schoolmates because of his developmental problems. From his suffering and helping him regain his self-confidence. # Al-Quds Newspaper # Cudan_Biles # Australia # Trend # Bully",real
"Pink, Hand, Textile, Glass, Table, Games",Ebro art on Turkish water in Istanbul. # Turkey # Drawing # Water # Art # Photo,real
Text,It happened on this day .. #the_this_this_this_today #the Jerusalem_ newspaper,fake
"Mammal, Vertebrate, Bovine, Bull, Ox, Horn, Cow-goat family, Tradition, Animal sports, Sport venue","The opening of the international agricultural exhibition in the capital, Paris ... # Jerusalem_ newspaper # Pictures # Paris # Animals # cows",real
"Rapeseed, Mustard, Field, Mustard plant, Canola, Plant, Cash crop, Crop, Soil, Flower","Pictures ... A farmer plows a field in a village in central China's Hunan Province, where with a gradual rise in temperature, farmers start plowing fields amid the scent of spring flowers. # Al-Quds Newspaper # Tilling # Hunan # China # Miscellaneous",real
"Water transportation, Boat, Harbor, Vehicle, Fishing vessel, Waterway, Mode of transport, Port, Transport, Sky",Abundant fishing from the Gaza Sea ... # Al-Quds Newspaper # Fishing # Gaza # Palestine,real
"Reptile, Scaled reptile, Dragon lizard, Lizard, Wildlife, Claw, Zoo, Tail, Iguania",Toronto Reptile Exhibition for the year 2020 in the Canadian city of Toronto .. # Reptiles # Canada # Pictures # Jerusalem newspaper,real
"Dish, Cuisine, Food, Ingredient, Vegetarian food, Hyderabadi haleem, Meal, Produce, Recipe",Guard guard # Ejat Al-Loof is a popular winter food ... # Al-Quds Newspaper # Palestine # Ejja # Loof # Palestinian Food,real
"Facial hair, Beard, Arm, Fun, Photography, Eyewear, Sitting, Furniture",The last photos in the life of the former Egyptian President Mohamed Hosni Mubarak Mubarak passed away at the age of 91 today # Jerusalem newspaper # Egypt # Hosni Mubarak,real
"Flower, Flowering plant, Petal, Plant, Spring, Wildflower, Peruvian lily, Blossom, Alstroemeriaceae, Plant stem",Pictures showing the beauty of almond flowers in his season. Photography: Majed Ouda Abu Arab # Al Quds Newspaper # Zahr Al Luz # Nature # Palestine,real
"Tree, Spring, Blossom, Plant, Grass, Woody plant, Branch, Flower, Botany, Leaf",Almond trees in Jenin ... Alaa Badarna # trees # almond # Palestine # nature # photos,real
"Red, Flag, Umbrella, Fashion accessory, Photography, Vacation, Travel, Leisure, Happy, City","Kuwaitis celebrate Independence and Liberation Day, which falls on February 25 and 26 each year, despite the government announcing the cancellation of official ceremonies after the discovery of new cases of coronavirus in the country. # Kuwait # Independence Day # Celebrations # Pictures",fake
"Bird, Vertebrate, Beak, Partridge, Galliformes, Phasianidae, Wildlife, Adaptation",Shennar in the mountains of Palestine Lens: Muhammad Al-Shuaibi # Al-Quds Newspaper # Al-Shennar # Nature # Palestine,real
"Sky, Urban area, City, Landmark, Human settlement, Daytime, Town, Cityscape, Metropolitan area, Metropolis",A general scene of Al-Isawiya in Jerusalem showing the mountains of the Hashemite Kingdom of Jordan Afif Amira # Palestine # Al-Isawiya # Jordan # Pictures # Jerusalem,real
"Sky, Night, Light, House, Lighting, Cloud, Water, Architecture, Tree, Midnight",Lightning hits the sky of the Greek island of Lesbos .. # Lightning # Greece # Lesbos # Pictures # The weather,real
"Flower, Plant, Flowering plant, Plant stem, Vascular plant",Season for picking asparagus in Gaza ..,real
"People in nature, Sky, Photograph, Silhouette, Standing, Cloud, Photography, Human, Friendship, Fun",Gaza Beach this evening ..,real
"Dish, Food, Cuisine, Meat, Ingredient, Kebab, Shish taouk, Produce, Biryani, Staple food",Today's dish ... Shish tawook with rice and vegetables .. # Al-Quds Newspaper # Arabic food # Today's dish,real
"Line, Animation, Games",The worst Friday in the global financial markets because of Corona since 2008. # Al-Quds Newspaper # Corona # The global financial markets,fake
"Snow, Winter, Sky, Tree, Snapshot, Freezing, Bicycle, Vehicle, Street light, Sunlight",Heavy snow fell on the Chinese city of Harbin .. # Snow # China # Photo # Winter # Corona,real
"Hair, People, Child, Head, Hairstyle, Hair accessory, Human, Headgear, Adaptation, Tribe",The arrival of the first boat carrying irregular migrants to the Greek island of Medellí .. # Greece # migrants # Turkey # Greece,fake
"Polar bear, Bear, Polar bear, Water, Carnivore, Wildlife, Wave",A polar bear in a Russian zoo enjoys food with eyes closed and happily drying its hair on International Polar Bears Day. # Polar bear # Pictures # Russia # Photo # Bears,real
"Arm, Leg, Car seat, Thigh, Shoulder, Human leg, Steering wheel, Driving, Car seat cover, Auto part","Jessica Cox, 36, is the first non-armless pilot in the world, and also the first non-armless person with a black belt at the Taekwondo Association of America.",real
"Chocolate, Chocolatier, Food, Cuisine, Dessert",Reem Shehab: A Palestinian woman creates chocolate with natural herbal flavors at her home in Ramallah. # Palestine # Chocolate # Pictures # Women # A hobby,real
"Landmark, Skyscraper, Daytime, Atmospheric phenomenon, Sky, City, Building, Metropolis, Architecture, Tower block",Dubai landmarks embrace the fog .. # Dubai # fog # skyscrapers # pictures,real
"Vintage advertisement, Fictional character, Retro style",It happened on this day .. #the_this_this_this_today #the Jerusalem_ newspaper,fake
"Photograph, Dress, Bride, Wedding dress, Bridal clothing, Ceremony, Gown, Temple, Tradition, Wedding","Despite the bombing of the Israeli planes, the house of the young Muhammad Zu'rob 27 years ago, about 3 months ago, but he insisted on continuing his preparations for marriage and his wedding ceremony over his destroyed house # Gaza # Destruction # Bombing # Occupation # Jerusalem_ Newspaper",real
"Dish, Food, Cuisine, Ingredient, Dip, Produce, Side dish, Baba ghanoush, Meal, Congee","I remember one day you were Jaffa, he told us, he told about Jaffa and my sailing in Mina Jaffa, the fishing days, Jaffa, we met today in the city of Jaffa. How sweet are you to start your day in the city of Jaffa ... # Al-Quds Newspaper # Palestine # Jaffa",fake
"House, Home, Property, Residential area, Building, Sky, Architecture, real estate, Neighbourhood, Roof",The beautiful historical buildings of Jerusalem ... with a lens: Munir Qalibu # Al-Quds Newspaper # Palestine # Jerusalem # History # Iraq,real
"Winter, Snow, Frost, Freezing, Sky, Home, Ice, House, Tree, Landscape","A wonderful scenery of frost flowers after snowfall in Meishan, Heilongjiang Province ... # China # Snow # Pictures # Winter",real
"Natural landscape, Flower, Green, Grass, Natural environment, Spring, Meadow, Plant, Coquelicot, Grassland",The green nature of Mount Tabor on the plain of Marj bin Amer .. By lens: Ibn Al-Kahili - Rahhal Kaheli Traveler # Palestine # Plains # Nature # Pictures # Spring,real
"Event, Community, Tourism, Crowd, Flag, Architecture, Recreation, Official, City",Precautionary measures in the city of Bethlehem after suspected cases of Corona virus in a hotel .. # Beth_ meat # Corona # Virus_Krona # Pictures,fake
"Field, Plain, Sky, Aerial photography, Landscape, Land lot, Grassland, Bird's-eye view, Agriculture, Plant",An aerial view of the fields in southwest China's Tonghai County ... # fields # farms # China # nature # pictures,real
"Mecca, City, Human settlement, Architecture, Urban design, Building, Baggage, Briefcase",In a precedent is the first .. Evacuation of the Tawaf dish in the Great Mosque of Makkah for sterilization due to the Corona virus # Saudi Arabia # The Kaaba # Corona_Virus_New #alqudsnewspaper #coronvirus,real
"Vehicle, Boat, Water transportation, Sky, Ferry, Sea, Waterway, Watercraft, Ship, Calm",Haifa city .. Mermaid and the pulse of Palestine # Haifa # Palestine # The sea # Pictures # Nature,real
"Text, City, Font",It happened on this day .. #the_this_this_this_today #the Jerusalem_ newspaper,fake
"Street, Vehicle, Car, Urban area, Mode of transport, Snapshot, Pedestrian, Road, Infrastructure, Neighbourhood",This is how the city of Bethlehem looked on Friday ... # Bethlehem # Church of the Nativity # Crohna virus,real
"Dome, Dome, Tourism, Building, Place of worship, Mosque, Architecture, Temple, Travel",20 thousand worshipers performing Friday prayers in Al-Aqsa Mosque today .. # Al-Aqsa Mosque # Jerusalem # Friday Prayer,real
"Natural foods, Fruit, Food, Berry, Pink peppercorn, Cranberry, Plant, Lingonberry, Camu camu, Local food",Anabta is the first time in Palestine to harvest coffee beans in the town of Anabta .. # Al-Quds Newspaper # Coffee_ Pills # Palestine # Achievements,real
"People, Human, Headgear, Tourism, Crowd, Temple, Street, Winter",Corona in Palestine .. # Palestine # Corona virus # Bethlehem # photos,fake
"Vehicle, Car, Mud, Flood, Event, Rain",Rains flood the streets of Gaza .. # rains # Gaza # photos # low_ weather # rains,real
"Building, Architecture, Place of worship, Church, Temple, Religious institute, Arch, Chapel, Art",Sterilization of mosques in the city of Ramallah to counter the Corona virus .. # Ram_ God # Mosques # Churches # Virus_Krona,real
"Natural landscape, Tree, Sky, Nature, Vegetation, Yellow, Natural environment, Grass, Wilderness, Sunlight",The village of Al-Walajah is a Palestinian village of one of the displaced villages in 1948. It is considered one of the oldest villages in Palestine.,real
"Electronics, Design, Architecture, Building, Room, Furniture, Aerospace engineering, Machine","An empty family in a hospital in Wuhan, the new epidemic outbreak of the Coronavirus, where all patients have been discharged from the makeshift hospital after recovering or being transferred to another hospital, and work in the makeshift hospital officially ended on Sunday morning after the completion of all disinfection work in it.",real
"Chef, Cook, Food, Culinary art, Cooking show, Pastry chef, Cuisine, Dish, Taste, Chocolatier","A French chef specializing in chocolate creates chocolate pellets in the form of a Corona virus, after spreading news of its spread. # Virus_Krona # Chocolates # France # Pictures",real
"Bread, Food, Cuisine, Baked goods, Pastry, Finger food, Dish, Street food, Baker","Gaza women work in agriculture, bread preparation, clay ovens and beekeeping .. # Palestine # Gaza # Women # World Women Day",real
"Hair, Hairstyle, Hairdresser, Black hair, Forehead, Barber, Makeup artist, Neck, Facial hair, Long hair","Turkish Tutco .. An engineer who works in hairdressing men's hair, because it is easier to convince men with hairstyles than to convince women, because women ask for hairdos and careful care ....",real
"Drink, Liqueur, Barware, Alcohol, Distilled beverage, Beer, Pint glass, Drinkware",Caprice .. The first specialized project to sell Ethiopian and Italian coffee in the Gaza Strip with high professionalism .. # Gaza # Coffee # Caprice # Pictures # Cafes,real
"Intersection, Junction, Urban area, Street, Road, Metropolitan area, Transport, City, Thoroughfare, Infrastructure","After the governor of the state of New York declared a state of emergency in the state against the Corona virus, this is how people in the greater state of nine million people looked ... # New York # the Corona virus # photos # emergency",real
"Water, Personal protective equipment, Headgear, Drinking water, Drink, Mineral water, Games",Hebron produces hand sanitizer to prevent corona virus .. # Hebron # hand sanitizer # Corona virus # photos,real
"Flowering plant, Flower, Yellow, Plant, Insect, Mustard plant, Membrane-winged insect, Bee, Pest, Pollinator","Just like cherry blossoms, Nanuhana also marks the beginning of spring in many provinces of southern China, such as Sichuan Province and Jiangxi Province.",real
"Water, Mineral water, Drinking water, Bottled water, Drink, Leisure",Hebron produces hand sanitizer to prevent corona virus .. Photo: AP in Jerusalem newspaper # Palestine # Hebron # corona # hand sanitizer,real
